"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"138","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia",NA,"eaaa8f00ebcebbaf1fe425c94ea5f51d"
"139","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_griseoviridis","0c908611178d4815bc7cb1bd6a17312d"
"140","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum","Cenococcum_geophilum","34cf2a47221ca8b37542a92a660df7d1"
"141","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_nodositatum","583769beb3824e674b264429f28e5a30"
"142","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","unidentified","a9a1cd5825404289b3272ae2606a3752"
"143","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae",NA,NA,"6a5d806b18ff4ca3cb64ba07e247a82d"
"144","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_cyanoxantha","e434d51b1d4fc35e29ee153f852159c3"
"145","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"c919d21f6c3ff1f06c66ba829b1c5c9e"
"146","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Rasamsonia","unidentified","1c38e9316549effc450664d02796d15f"
"147","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactifluus",NA,"965292193cdd15425b9f3f4603dc3abf"
"148","Fungi","Ascomycota",NA,NA,NA,NA,NA,"1e95148318fbde9cfc0f414cb721db92"
"149","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA,"4428396d26682a7c4dbeecf9ae45d8fc"
"150","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","unidentified","4080b42c5ec3450e6e63676d97ad0fd1"
"151","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","unidentified","080cc3f2b5bf13e602c429406c598891"
"152","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"7baea4573e223ccbd1078502b0f64ad3"
"153","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","unidentified","f252af31689a13860e2c83c42c376f82"
"154","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","unidentified","e8e84c42f44b33bbe3c9c8447ea9af8b"
"155","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"c8b7aa296fe85b7e1c3c4c43c440aba9"
"156","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","unidentified","unidentified","b55873bd3dcce47829811e5c8ba08468"
"157","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"da5d743494202c7cfb2de33671ce080d"
"158","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,"a4107d6f366a0995ceb704624588af05"
"159","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","unidentified","unidentified","unidentified","90f6718453f2f0e40b761bac2b971327"
